pair_index,num_pairs,experiment_response,experiment_spend,spend_response_ratio,budget,iroas,rmse,rmse_std,proportion_cost_in_experiment,rmse_cost_adjusted,rmse_cost_adjusted_std,cihw,std,bias,bias_std,trim_rate,trim_rate_std,trim_rate_cost,trim_rate_cost_std
0,105,19917.0,214354.05261322446,10.762366451434676,25662.917149173078,0,0.034776925836075986,0.0015662296667258953,1.0,0.034776925836075986,0.0015662296667258953,0.037457343606236364,0.03429326273964366,0.006267921555376129,0.0024248998632213988,0.04480952380952381,0.0025812363365852312,0.46791982457450787,0.022428570598557657
1,104,16060.0,159477.13112699296,9.930082884619736,25662.917149173078,0,0.025321414622032173,0.0011638447191650019,0.7439893446509726,0.034034646872410784,0.0015643298221038313,0.028007256410195847,0.025339716389618128,0.0015110651501885934,0.0017917885292442876,0.0545673076923077,0.002537534440669598,0.4627517402169805,0.018828232827277865
2,103,13283.0,127679.25964348718,9.612230643942421,25662.917149173078,0,0.02084569179252122,0.0010533161199522652,0.5956465860427128,0.03499674518578775,0.0017683575204386947,0.022636347758921014,0.020863768164613043,0.0011926979467574504,0.0014752911950301891,0.0586893203883495,0.0022631265339849898,0.4580286389371311,0.01395801907316337
3,102,12315.0,121038.58965774665,9.82854970830261,25662.917149173078,0,0.01913250389205452,0.0009029972772224213,0.5646666726481067,0.03388282825747299,0.0015991687148590725,0.021117971560723817,0.019173053125164402,-0.0005336373954350728,0.0013557395880853676,0.05862745098039216,0.0021409042454436835,0.4643777328949427,0.012523231721580668
4,101,10403.0,113522.81835437367,10.91250777221702,25662.917149173078,0,0.017789151708029086,0.0009722056498461939,0.5296042550649213,0.033589518093747966,0.001835720994588717,0.019196619342188796,0.01779372313234893,-0.001191813112504688,0.0012582062289439864,0.05618811881188119,0.002112521835110112,0.43784489724489334,0.012749708556529493
5,100,9947.0,106847.16893981055,10.741647626400981,25662.917149173078,0,0.018001199121977524,0.0008117659698434461,0.49846115637758964,0.03611354443904035,0.0016285440890574123,0.019702353673586692,0.018035307003889552,0.0006302639115161314,0.0012752887883231538,0.053000000000000005,0.0022550891635761084,0.44190693692652255,0.014577300324525646
6,99,8947.0,94797.85980467321,10.59549120427777,25662.917149173078,0,0.014504463419931762,0.0006563518496599779,0.4422489738308064,0.03279705387282778,0.0014841229454408682,0.017018185875870763,0.014481140470820856,0.0013132200543591662,0.001023971262623238,0.05146464646464646,0.0021464504637994106,0.40422331705813336,0.012533615349326947
7,98,8303.0,86875.06836549185,10.463093865529551,25662.917149173078,0,0.013331561218343299,0.0007060144230409987,0.405287734504592,0.03289406533518534,0.001742007869801447,0.015133684521888678,0.013175277288077639,0.0022384218902586806,0.0009316327914412804,0.04428571428571428,0.002103239753944655,0.33672027071589644,0.011797959951010671
8,97,8101.0,83567.65191523312,10.31572051786608,25662.917149173078,0,0.014041712799151732,0.0006389544041405861,0.38985804511949523,0.03601750169051356,0.001638941179076452,0.015293243045685906,0.014028939428320338,0.0011587115938826128,0.0009919958202620639,0.05025773195876289,0.002279524156785357,0.36810167551967043,0.01247069405950603
9,96,7749.0,77812.50195299301,10.04161852535721,25662.917149173078,0,0.013166903917149145,0.0006485286286640119,0.3630092410400848,0.036271539202207825,0.0017865347637042635,0.01517603885925629,0.013198391415647706,-0.00020201604539657906,0.000933267207075881,0.0553125,0.0022120393155224626,0.403377656271741,0.012813633746119232
10,95,7354.0,70239.62454440462,9.551213563285915,25662.917149173078,0,0.014390378930003984,0.000676600992519799,0.32768041326068786,0.04391589593899725,0.002064819760775648,0.015217561177577787,0.014399971604197872,0.0008721350001038679,0.0010182317570222041,0.04894736842105263,0.0024530843319660795,0.39250594837956476,0.015927077589120528
11,94,5717.0,54827.67217771044,9.590287244658114,25662.917149173078,0,0.010190133248589308,0.0003985815453675913,0.25578089851485214,0.03983930507616701,0.0015582928501771892,0.01183119040017382,0.010191871770035024,-0.0006956555886734597,0.0007206741641575505,0.05117021276595745,0.0023002663438315817,0.3016215278186943,0.01143927771520922
12,93,5365.0,49450.3166731702,9.217207208419422,25662.917149173078,0,0.008583331731755127,0.0004738701048114885,0.2306945731620816,0.03720647440512023,0.002054101656212591,0.010753411545348479,0.00859128995685176,0.00048204959316033543,0.000607495938762976,0.05903225806451612,0.001944812207560662,0.31694615684935795,0.008892897219461569
13,92,4783.0,45102.20725668806,9.429689997216823,25662.917149173078,0,0.00689931479250699,0.00037084030530316057,0.21040986492599442,0.03278988271264574,0.0017624663436459735,0.009407183879236553,0.006915250627924384,-0.0001376837511554622,0.0004889820612609863,0.05,0.0021367258511555613,0.23396763283653418,0.009388904584070046
