zip_code,dma_code,dma_name,city,state,state_name,geo_key_zip,geo_key_city,geo_key_dma,geo_key_state
62864,632,PADUCAH-CAPE GIRARD-HARSBG,MOUNT VERNON,IL,Illinois,62864,"MOUNT VERNON, IL",PADUCAH-CAPE GIRARD-HARSBG,IL
62865,632,PADUCAH-CAPE GIRARD-HARSBG,CHRISTOPHER,IL,Illinois,62865,"CHRISTOPHER, IL",PADUCAH-CAPE GIRARD-HARSBG,IL
62866,632,PADUCAH-CAPE GIRARD-HARSBG,,,,62866,,PADUCAH-CAPE GIRARD-HARSBG,
62867,632,PADUCAH-CAPE GIRARD-HARSBG,NEW HAVEN,IL,Illinois,62867,"NEW HAVEN, IL",PADUCAH-CAPE GIRARD-HARSBG,IL
62868,581,TERRE HAUTE,NOBLE,IL,Illinois,62868,"NOBLE, IL",TERRE HAUTE,IL
62869,649,EVANSVILLE,NORRIS CITY,IL,Illinois,62869,"NORRIS CITY, IL",EVANSVILLE,IL
62870,609,ST. LOUIS,ODIN,IL,Illinois,62870,"ODIN, IL",ST. LOUIS,IL
62871,632,PADUCAH-CAPE GIRARD-HARSBG,OMAHA,IL,Illinois,62871,"OMAHA, IL",PADUCAH-CAPE GIRARD-HARSBG,IL
62872,632,PADUCAH-CAPE GIRARD-HARSBG,BELLE RIVE,IL,Illinois,62872,"BELLE RIVE, IL",PADUCAH-CAPE GIRARD-HARSBG,IL
62874,632,PADUCAH-CAPE GIRARD-HARSBG,WEST FRANKFORT,IL,Illinois,62874,"WEST FRANKFORT, IL",PADUCAH-CAPE GIRARD-HARSBG,IL
62875,609,ST. LOUIS,PATOKA,IL,Illinois,62875,"PATOKA, IL",ST. LOUIS,IL
62876,609,ST. LOUIS,RADOM,IL,Illinois,62876,"RADOM, IL",ST. LOUIS,IL
62877,609,ST. LOUIS,RICHVIEW,IL,Illinois,62877,"RICHVIEW, IL",ST. LOUIS,IL
62878,649,EVANSVILLE,CISNE,IL,Illinois,62878,"CISNE, IL",EVANSVILLE,IL
62879,609,ST. LOUIS,CLAY CITY,IL,Illinois,62879,"CLAY CITY, IL",ST. LOUIS,IL
62880,609,ST. LOUIS,SAINT PETER,IL,Illinois,62880,"SAINT PETER, IL",ST. LOUIS,IL
62881,609,ST. LOUIS,SALEM,IL,Illinois,62881,"SALEM, IL",ST. LOUIS,IL
62882,609,ST. LOUIS,CENTRALIA,IL,Illinois,62882,"CENTRALIA, IL",ST. LOUIS,IL
62883,632,PADUCAH-CAPE GIRARD-HARSBG,SCHELLER,IL,Illinois,62883,"SCHELLER, IL",PADUCAH-CAPE GIRARD-HARSBG,IL
