zip_code,dma_code,dma_name,city,state,state_name,geo_key_zip,geo_key_city,geo_key_dma,geo_key_state
42045,632,PADUCAH-CAPE GIRARD-HARSBG,GILBERTSVILLE,KY,Kentucky,42045,"GILBERTSVILLE, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42047,632,PADUCAH-CAPE GIRARD-HARSBG,HAMPTON,KY,Kentucky,42047,"HAMPTON, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42048,632,PADUCAH-CAPE GIRARD-HARSBG,BENTON,KY,Kentucky,42048,"BENTON, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42049,632,PADUCAH-CAPE GIRARD-HARSBG,HAZEL,KY,Kentucky,42049,"HAZEL, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42050,632,PADUCAH-CAPE GIRARD-HARSBG,HICKMAN,KY,Kentucky,42050,"HICKMAN, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42051,632,PADUCAH-CAPE GIRARD-HARSBG,HICKORY,KY,Kentucky,42051,"HICKORY, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42053,632,PADUCAH-CAPE GIRARD-HARSBG,KEVIL,KY,Kentucky,42053,"KEVIL, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42054,632,PADUCAH-CAPE GIRARD-HARSBG,KIRKSEY,KY,Kentucky,42054,"KIRKSEY, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42055,632,PADUCAH-CAPE GIRARD-HARSBG,EDDYVILLE,KY,Kentucky,42055,"EDDYVILLE, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42056,632,PADUCAH-CAPE GIRARD-HARSBG,LA CENTER,KY,Kentucky,42056,"LA CENTER, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42058,632,PADUCAH-CAPE GIRARD-HARSBG,LEDBETTER,KY,Kentucky,42058,"LEDBETTER, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42060,632,PADUCAH-CAPE GIRARD-HARSBG,LOVELACEVILLE,KY,Kentucky,42060,"LOVELACEVILLE, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42061,632,PADUCAH-CAPE GIRARD-HARSBG,LOWES,KY,Kentucky,42061,"LOWES, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42063,632,PADUCAH-CAPE GIRARD-HARSBG,SEDALIA,KY,Kentucky,42063,"SEDALIA, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42064,632,PADUCAH-CAPE GIRARD-HARSBG,MARION,KY,Kentucky,42064,"MARION, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42066,632,PADUCAH-CAPE GIRARD-HARSBG,MAYFIELD,KY,Kentucky,42066,"MAYFIELD, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42069,632,PADUCAH-CAPE GIRARD-HARSBG,MELBER,KY,Kentucky,42069,"MELBER, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42070,632,PADUCAH-CAPE GIRARD-HARSBG,,,,42070,,PADUCAH-CAPE GIRARD-HARSBG,
42071,632,PADUCAH-CAPE GIRARD-HARSBG,MURRAY,KY,Kentucky,42071,"MURRAY, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42076,632,PADUCAH-CAPE GIRARD-HARSBG,MURRAY,KY,Kentucky,42076,"MURRAY, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42078,632,PADUCAH-CAPE GIRARD-HARSBG,SALEM,KY,Kentucky,42078,"SALEM, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42079,632,PADUCAH-CAPE GIRARD-HARSBG,MAYFIELD,KY,Kentucky,42079,"MAYFIELD, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42081,632,PADUCAH-CAPE GIRARD-HARSBG,SMITHLAND,KY,Kentucky,42081,"SMITHLAND, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42082,632,PADUCAH-CAPE GIRARD-HARSBG,BENTON,KY,Kentucky,42082,"BENTON, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42083,632,PADUCAH-CAPE GIRARD-HARSBG,TILINE,KY,Kentucky,42083,"TILINE, KY",PADUCAH-CAPE GIRARD-HARSBG,KY
42084,632,PADUCAH-CAPE GIRARD-HARSBG,,,,42084,,PADUCAH-CAPE GIRARD-HARSBG,
52326,637,CEDAR RAPIDS-WTRLO-IWC &DUB,QUASQUETON,IA,Iowa,52326,"QUASQUETON, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52327,637,CEDAR RAPIDS-WTRLO-IWC &DUB,RIVERSIDE,IA,Iowa,52327,"RIVERSIDE, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52328,637,CEDAR RAPIDS-WTRLO-IWC &DUB,CEDAR RAPIDS,IA,Iowa,52328,"CEDAR RAPIDS, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52329,637,CEDAR RAPIDS-WTRLO-IWC &DUB,ROWLEY,IA,Iowa,52329,"ROWLEY, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52330,637,CEDAR RAPIDS-WTRLO-IWC &DUB,RYAN,IA,Iowa,52330,"RYAN, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52332,637,CEDAR RAPIDS-WTRLO-IWC &DUB,SHELLSBURG,IA,Iowa,52332,"SHELLSBURG, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52333,637,CEDAR RAPIDS-WTRLO-IWC &DUB,SOLON,IA,Iowa,52333,"SOLON, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52334,637,CEDAR RAPIDS-WTRLO-IWC &DUB,MARENGO,IA,Iowa,52334,"MARENGO, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52335,637,CEDAR RAPIDS-WTRLO-IWC &DUB,SOUTH ENGLISH,IA,Iowa,52335,"SOUTH ENGLISH, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52336,637,CEDAR RAPIDS-WTRLO-IWC &DUB,MOUNT VERNON,IA,Iowa,52336,"MOUNT VERNON, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52337,637,CEDAR RAPIDS-WTRLO-IWC &DUB,STANWOOD,IA,Iowa,52337,"STANWOOD, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52338,637,CEDAR RAPIDS-WTRLO-IWC &DUB,SWISHER,IA,Iowa,52338,"SWISHER, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52339,637,CEDAR RAPIDS-WTRLO-IWC &DUB,TAMA,IA,Iowa,52339,"TAMA, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52340,637,CEDAR RAPIDS-WTRLO-IWC &DUB,CORALVILLE,IA,Iowa,52340,"CORALVILLE, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52341,637,CEDAR RAPIDS-WTRLO-IWC &DUB,CENTER POINT,IA,Iowa,52341,"CENTER POINT, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52342,637,CEDAR RAPIDS-WTRLO-IWC &DUB,TAMA,IA,Iowa,52342,"TAMA, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52344,637,CEDAR RAPIDS-WTRLO-IWC &DUB,TROY MILLS,IA,Iowa,52344,"TROY MILLS, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52345,637,CEDAR RAPIDS-WTRLO-IWC &DUB,URBANA,IA,Iowa,52345,"URBANA, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52346,637,CEDAR RAPIDS-WTRLO-IWC &DUB,VAN HORNE,IA,Iowa,52346,"VAN HORNE, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52347,637,CEDAR RAPIDS-WTRLO-IWC &DUB,BROOKLYN,IA,Iowa,52347,"BROOKLYN, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52348,637,CEDAR RAPIDS-WTRLO-IWC &DUB,VINING,IA,Iowa,52348,"VINING, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52349,637,CEDAR RAPIDS-WTRLO-IWC &DUB,VINTON,IA,Iowa,52349,"VINTON, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52350,637,CEDAR RAPIDS-WTRLO-IWC &DUB,,,,52350,,CEDAR RAPIDS-WTRLO-IWC &DUB,
52351,637,CEDAR RAPIDS-WTRLO-IWC &DUB,WALFORD,IA,Iowa,52351,"WALFORD, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52352,637,CEDAR RAPIDS-WTRLO-IWC &DUB,WALKER,IA,Iowa,52352,"WALKER, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52353,637,CEDAR RAPIDS-WTRLO-IWC &DUB,WASHINGTON,IA,Iowa,52353,"WASHINGTON, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52354,637,CEDAR RAPIDS-WTRLO-IWC &DUB,NORWAY,IA,Iowa,52354,"NORWAY, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52355,637,CEDAR RAPIDS-WTRLO-IWC &DUB,SOUTH ENGLISH,IA,Iowa,52355,"SOUTH ENGLISH, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52356,637,CEDAR RAPIDS-WTRLO-IWC &DUB,WELLMAN,IA,Iowa,52356,"WELLMAN, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52358,637,CEDAR RAPIDS-WTRLO-IWC &DUB,IOWA CITY,IA,Iowa,52358,"IOWA CITY, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52359,637,CEDAR RAPIDS-WTRLO-IWC &DUB,KEOTA,IA,Iowa,52359,"KEOTA, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52361,637,CEDAR RAPIDS-WTRLO-IWC &DUB,WILLIAMSBURG,IA,Iowa,52361,"WILLIAMSBURG, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52362,637,CEDAR RAPIDS-WTRLO-IWC &DUB,WYOMING,IA,Iowa,52362,"WYOMING, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52401,637,CEDAR RAPIDS-WTRLO-IWC &DUB,CEDAR RAPIDS,IA,Iowa,52401,"CEDAR RAPIDS, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52402,637,CEDAR RAPIDS-WTRLO-IWC &DUB,CEDAR RAPIDS,IA,Iowa,52402,"CEDAR RAPIDS, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52403,637,CEDAR RAPIDS-WTRLO-IWC &DUB,CEDAR RAPIDS,IA,Iowa,52403,"CEDAR RAPIDS, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52404,637,CEDAR RAPIDS-WTRLO-IWC &DUB,CEDAR RAPIDS,IA,Iowa,52404,"CEDAR RAPIDS, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52405,637,CEDAR RAPIDS-WTRLO-IWC &DUB,CEDAR RAPIDS,IA,Iowa,52405,"CEDAR RAPIDS, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52406,637,CEDAR RAPIDS-WTRLO-IWC &DUB,CEDAR RAPIDS,IA,Iowa,52406,"CEDAR RAPIDS, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52407,637,CEDAR RAPIDS-WTRLO-IWC &DUB,CEDAR RAPIDS,IA,Iowa,52407,"CEDAR RAPIDS, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52408,637,CEDAR RAPIDS-WTRLO-IWC &DUB,CEDAR RAPIDS,IA,Iowa,52408,"CEDAR RAPIDS, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52409,637,CEDAR RAPIDS-WTRLO-IWC &DUB,CEDAR RAPIDS,IA,Iowa,52409,"CEDAR RAPIDS, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52410,637,CEDAR RAPIDS-WTRLO-IWC &DUB,CEDAR RAPIDS,IA,Iowa,52410,"CEDAR RAPIDS, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52411,637,CEDAR RAPIDS-WTRLO-IWC &DUB,CEDAR RAPIDS,IA,Iowa,52411,"CEDAR RAPIDS, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52497,637,CEDAR RAPIDS-WTRLO-IWC &DUB,,,,52497,,CEDAR RAPIDS-WTRLO-IWC &DUB,
52498,637,CEDAR RAPIDS-WTRLO-IWC &DUB,,,,52498,,CEDAR RAPIDS-WTRLO-IWC &DUB,
52499,637,CEDAR RAPIDS-WTRLO-IWC &DUB,,,,52499,,CEDAR RAPIDS-WTRLO-IWC &DUB,
52501,631,OTTUMWA-KIRKSVILLE,OTTUMWA,IA,Iowa,52501,"OTTUMWA, IA",OTTUMWA-KIRKSVILLE,IA
52530,631,OTTUMWA-KIRKSVILLE,AGENCY,IA,Iowa,52530,"AGENCY, IA",OTTUMWA-KIRKSVILLE,IA
